,group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
479,,,8914,Mining of fluorspar,,,,,,,,
480,,,8915,Mining of barytes,,,,,,,,
481,,,8919,Mining of potash bearing salts/minerals; borate minerals and other fertiliser,,,,,,,,
482,,,,and chemical minerals n.e.c.,,,,,,,,
483,,892,,extraction and agglomeration of peat,,,,,,,,
484,,,,This class excludes:,,,,,,,,
485,,,,"- service activities incidental to peat mining, see 0990",,,,,,,,
486,,,,"- manufacture of articles of peat, see 2399",,,,,,,,
487,,,8920,Extraction and agglomeration of peat,,,,,,,,
488,,893,,extraction of salt,,,,,,,,
489,,,,This class excludes:,,,,,,,,
490,,,,"- processing of salt into food-grade salt, e.g. iodized salt, see 1079",,,,,,,,
491,,,,"- potable water production by evaporation of saline water, see 3600",,,,,,,,
492,,,8931,"Salt mining, quarrying, screening etc.",,,,,,,,
493,,,8932,Salt production by evaporation of sea water or other saline waters,,,,,,,,
494,,899,,other mining and quarrying n.e.c.,,,,,,,,
495,,,8991,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/",,,,,,,,
496,,,,saphire etc.,,,,,,,,
497,,,8992,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum,",,,,,,,,
498,,,,garnet and other natural abrasives),,,,,,,,
499,,,8993,Mining of mica,,,,,,,,
500,,,8994,Mining of natural graphite,,,,,,,,
501,,,8995,Mining of asbestos,,,,,,,,
502,,,8996,"Mining of vermiculite, perlite and chlorites",,,,,,,,
503,,,8997,"Mining of felspar and silica minerals including quartz, quartzite and fuch.",,,,,,,,
504,,,,Quartzite,,,,,,,,
505,,,8998,Mining of talc/ steatite,,,,,,,,
506,,,8999,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and",,,,,,,,
507,,,,other natural fluxes; natural asphalt or bitumen and other mining n.e.c.,,,,,,,,
508,,,DiviSion 09 : mininG Support ServiCe aCtivitieS,,,,,,,,,
509,91,,,Support activities for petroleum and natural gas mining,,,,,,,,
510,,910,,Support activities for petroleum and natural gas mining,,,,,,,,
511,,,,This class excludes:,,,,,,,,
512,,,,"- service activities performed by operators of oil or gas fields, see 0610,",,,,,,,,
513,,,620,620,,,,,,,,
514,,,,"- specialized repair of mining machinery, see 3312",,,,,,,,
515,,,,#NAME?,,,,,,,,
516,,,,"off the mine site, see 5221",,,,,,,,
517,,,,"- geophysical, geologic and seismic surveying, see 7110",,,,,,,,
518,,,9101,Services incidental to off shore oil extraction,,,,,,,,
519,,,9102,Services incidental to on shore oil extraction,,,,,,,,
520,,,9103,Services incidental to off shore gas extraction,,,,,,,,
521,,,9104,Services incidental to on shore gas extraction,,,,,,,,
522,99,,,Support activities for other mining and quarrying,,,,,,,,
523,,990,,Support activities for other mining and quarrying,,,,,,,,
524,,,,"This class includes support services on a fee or contract basis, required",,,,,,,,
525,,,,"for mining activities of divisions 05, 07 and 08 (exploration services, e.g.",,,,,,,,
526,,,,"traditional prospecting methods, such as taking core samples and making",,,,,,,,
527,,,,"geological observations at prospective sites, draining and pumping services,",,,,,,,,
528,,,,"on a fee or contract basis, test drilling and test hole boring)",,,,,,,,
529,,,,This class excludes:,,,,,,,,
530,,,,"- operating mines or quarries on a contract or fee basis, see division 05, 07",,,,,,,,
531,,,,or 08,,,,,,,,
532,,,,"- specialized repair of mining machinery, see 3312",,,,,,,,
533,,,,"- geophysical surveying services, on a contract or fee basis, see 7110",,,,,,,,
534,,,9900,Support activities for other mining and quarrying,,,,,,,,
535,,,,SECTION C : MANUFACTURING,,,,,,,,
536,,,,DiviSion 10 : manuFaCture oF FooD proDuCtS,,,,,,,,
537,101,,,Processing and preserving of meat,,,,,,,,
538,,1010,,processing and preserving of meat,,,,,,,,
539,,,,This class includes non edible by products,,,,,,,,
540,,,,This class excludes:,,,,,,,,
541,,,,"- manufacture of prepared frozen meat and poultry dishes, see 1075",,,,,,,,
542,,,,"- manufacture of soup containing meat, see 1079",,,,,,,,
543,,,,"- wholesale trade of meat, see 4630",,,,,,,,
544,,,,"- packaging of meat, see 8292",,,,,,,,
545,,,10101,"Mutton-slaughtering, preparation",,,,,,,,
546,,,10102,"Beef-slaughtering, preparation",,,,,,,,
547,,,10103,"Pork-slaughtering, preparation",,,,,,,,
548,,,10104,"Poultry and other slaughtering, preparation",,,,,,,,
549,,,10105,"Preservation, Processing and canning of meat",,,,,,,,
550,,,10106,Production of hides and skins originating from slaughterhouses,,,,,,,,
551,,,10107,Rendering of lard and other edible fats of animal origin,,,,,,,,
552,,,10108,Production and processing of animal offal,,,,,,,,
553,,,10109,"Production, processing and preserving of other meat and meat products",,,,,,,,
554,,,,n.e.c.,,,,,,,,
555,102,,,"Processing and preserving of fish, crustaceans and molluscs and",,,,,,,,
556,,,,products thereof,,,,,,,,
557,,1020,,"Processing and preserving of fish, crustaceans and molluscs and",,,,,,,,
558,,,,products thereof,,,,,,,,
559,,,,This class excludes:,,,,,,,,
560,,,,"- processing of whales on land or specialized vessels, see 1010",,,,,,,,
561,,,,"- production of oils and fats from marine material, see 1040",,,,,,,,
562,,,,"- manufacture of prepared frozen fish dishes, see 1075",,,,,,,,
563,,,,"- manufacture of fish soups, see 1079",,,,,,,,
564,,,10201,Sun-drying of fish,,,,,,,,
565,,,10202,Artificial dehydration of fish and sea food,,,,,,,,
566,,,10203,Radiation preservation of fish and similar food,,,,,,,,
567,,,10204,Processing and preserving of fish crustacean and similar foods,,,,,,,,
568,,,10205,Processing and canning of fish,,,,,,,,
569,,,10206,Processing and canning of frog legs,,,,,,,,
570,,,10207,Production of fishmeal for human consumption or animal feed,,,,,,,,
571,,,10209,"Production, processing and preservation of other fish products n.e.c.",,,,,,,,
572,103,,,processing and preserving of fruit and vegetables,,,,,,,,
573,,1030,,processing and preserving of fruit and vegetables,,,,,,,,
574,,,,This class excludes:,,,,,,,,
575,,,,"- manufacture of flour or meal of dried leguminous vegetables, see 1061",,,,,,,,
576,,,,"- preservation of fruit and nuts in sugar, see 1073",,,,,,,,
577,,,,"- manufacture of prepared vegetable dishes, see 1075",,,,,,,,
578,,,,"- manufacture of artificial concentrates, see 1079",,,,,,,,
579,,,10301,Sun-drying of fruit and vegetables,,,,,,,,
580,,,10302,Artificial dehydration of fruit and vegetables,,,,,,,,
581,,,10303,Radiation preservation of fruit and vegetables,,,,,,,,
582,,,10304,"Manufacture of fruit or vegetable juices and their concentrates, squashes",,,,,,,,
583,,,,and powder,,,,,,,,
584,,,10305,"Manufacture of sauces, jams, jellies and marmalades",,,,,,,,
585,,,10306,"Manufacture of pickles, chutney etc.",,,,,,,,
586,,,10307,Canning of fruits and vegetables,,,,,,,,
587,,,10308,Manufacture of potato flour & meals and prepared meals of vegetables,,,,,,,,
588,,,10309,Preservation of fruit and vegetables n.e.c.,,,,,,,,
589,104,,,manufacture of vegetable and animal oils and fats,,,,,,,,
590,,1040,,manufacture of vegetable and animal oils and fats,,,,,,,,
591,,,,This class excludes:,,,,,,,,
592,,,,"- rendering and refining of lard and other edible animal fats, see 1010",,,,,,,,
593,,,,"- wet corn milling, see 1062",,,,,,,,
594,,,,"- production of essential oils, see 2029",,,,,,,,
595,,,,"- treatment of oil and fats by chemical processes, see 2029",,,,,,,,
596,,,10401,Manufacture of hydrogenated oil and vanaspati ghee,,,,,,,,
597,,,10402,Manufacture of vegetable oils and fats excluding corn oil,,,,,,,,
598,,,10403,Manufacture of edible animal oils and fats,,,,,,,,
599,,,10404,Manufacture of fish oil,,,,,,,,
600,,,10405,Manufacture of non-edible animal oil and fats,,,,,,,,
601,,,10406,"Manufacture of oil cakes & meals incl. residual products, e.g.",,,,,,,,
602,,,,"Oleostearin,Palmstearin",,,,,,,,
603,,,10407,"Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels",,,,,,,,
604,,,10409,"Manufacture of other vegetable oil, animal oil and fats n.e.c",,,,,,,,
605,105,,,manufacture of dairy products,,,,,,,,
606,,1050,,manufacture of dairy products,,,,,,,,
607,,,,This class excludes:,,,,,,,,
608,,,,"- production of raw milk (cattle), see 0141",,,,,,,,
609,,,,"- production of raw milk (camels, etc.), see 0143",,,,,,,,
610,,,,"- production of raw milk (sheep, goats, horses, asses, etc.), see 0144",,,,,,,,
611,,,,"- manufacture of non-dairy milk and cheese substitutes, see 1079",,,,,,,,
612,,,,"- activities of ice cream parlours, see 5610",,,,,,,,
613,,,10501,Manufacture of pasteurised milk whether or not in bottles/ polythene packs,,,,,,,,
614,,,,etc. (plain or flavoured),,,,,,,,
615,,,10502,"Manufacture of milk-powder, ice-cream powder and condensed milk except",,,,,,,,
616,,,,baby milk food,,,,,,,,
617,,,10503,Manufacture of baby milk foods,,,,,,,,
618,,,10504,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc.",,,,,,,,
619,,,10505,"Manufacture of ice-cream, kulfi etc.",,,,,,,,
620,,,10509,Manufacture of other dairy products n.e.c.,,,,,,,,
621,106,,,"manufacture of grain mill products, starches and starch products",,,,,,,,
622,,1061,,manufacture of grain mill products,,,,,,,,
623,,,,This class excludes:,,,,,,,,
624,,,,"- manufacture of potato flour and meal, see 1030",,,,,,,,
625,,,,"- wet corn milling, see 1062",,,,,,,,
626,,,10611,Flour milling,,,,,,,,
627,,,10612,Rice milling,,,,,,,,
628,,,10613,Dal (pulses) milling,,,,,,,,
629,,,10614,"Grain milling other than wheat, rice and dal",,,,,,,,
630,,,10615,Vegetable milling (production of flour or meal of dried leguminous,,,,,,,,
631,,,,"vegetables(except dal), of roots or tubers, or of edible nuts)",,,,,,,,
632,,,10616,Manufacture of cereal breakfast foods obtained by roasting or swelling,,,,,,,,
633,,,,cereal grains,,,,,,,,
634,,,10617,"Manufacture of flour mixes and prepared blended flour and dough for bread,",,,,,,,,
635,,,,"cakes, biscuits",,,,,,,,
636,,,10618,"Manufacture of other readymade mixed powders like idli, gulabjamun etc.",,,,,,,,
637,,,10619,Other grain milling and processing n.e.c.,,,,,,,,
638,,1062,,manufacture of starches and starch products,,,,,,,,
639,,,,This class excludes:,,,,,,,,
640,,,,"- manufacture of lactose (milk sugar), see 1050",,,,,,,,
641,,,,"- production of cane or beet sugar, see 1072",,,,,,,,
642,,,10621,"Manufacture of starches from rice, potatoes, maize etc.",,,,,,,,
643,,,10622,Manufacture of sago and sago products,,,,,,,,
644,,,10623,"Manufacture of glucose, glucose syrup, maltose etc.",,,,,,,,
645,,,10624,Manufacture of gluten,,,,,,,,
646,,,10625,Manufacture of tapioca and tapioca substitutes prepared from starch,,,,,,,,
647,,,10626,Manufacture of corn oil,,,,,,,,
648,,,10629,Manufacture of other starch products n.e.c.,,,,,,,,
649,107,,,manufacture of other food products,,,,,,,,
650,,1071,,manufacture of bakery products,,,,,,,,
651,,,,This class excludes:,,,,,,,,
652,,,,"- manufacture of farinaceous products (pastas), see 1074",,,,,,,,
653,,,,"- manufacture of potato snacks, see 1030",,,,,,,,
654,,,,"- heating up of bakery items for immediate consumption, see division 56",,,,,,,,
655,,,10711,Manufacture of bread,,,,,,,,
656,,,10712,"Manufacture of biscuits, cakes, pastries, rusks etc.",,,,,,,,
657,,,10719,Manufacture of other bakery products n.e.c.,,,,,,,,
658,,1072,,manufacture of sugar,,,,,,,,
659,,,,This class excludes:,,,,,,,,
660,,,,"- manufacture of glucose, glucose syrup, maltose, see 1062",,,,,,,,
661,,,10721,Manufacture or refining of sugar (sucrose) from sugercane,,,,,,,,
662,,,10722,Manufacture of `gur’ from sugarcane,,,,,,,,
663,,,10723,Manufacture of `gur’ from other than sugarcane,,,,,,,,
664,,,10724,Manufacture of `khandsari’ sugar from sugarcane,,,,,,,,
665,,,10725,Manufacture of `khandsari’ suger from other than sugarcane,,,,,,,,
666,,,10726,Manufacture of `boora’ and candy from sugarcane,,,,,,,,
667,,,10727,Manufacture of `boora’ and candy from other than sugarcane,,,,,,,,
668,,,10728,Manufacture of molasses,,,,,,,,
669,,,10729,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)",,,,,,,,
670,,1073,,"manufacture of cocoa, chocolate and sugar confectionery",,,,,,,,
671,,,,This class excludes:,,,,,,,,
672,,,,"- manufacture of sucrose sugar, see 1072",,,,,,,,
673,,,10731,Manufacture of cocoa products,,,,,,,,
674,,,10732,Manufacture of chocolate and chocolate confectionery,,,,,,,,
675,,,10733,Manufacture of sugar confectionery (except sweetmeats),,,,,,,,
676,,,10734,Manufacture sweetmeats includind dairy based sweetmeats,,,,,,,,
677,,,10735,Manufacture of chewing gum,,,,,,,,
678,,,10736,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants",,,,,,,,
679,,,10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.",,,,,,,,
680,,1074,,"manufacture of macaroni, noodles, couscous and similar farinaceous",,,,,,,,
681,,,,products,,,,,,,,
682,,,,"This class includes manufacture of pastas such as macaroni and noodles,",,,,,,,,
683,,,,"whether or not cooked or stuffed, manufacture of couscous, manufacture of",,,,,,,,
684,,,,canned or frozen pasta products,,,,,,,,
685,,,,This class excludes:,,,,,,,,
686,,,,"- manufacture of soup containing pasta, see 1079",,,,,,,,
687,,,10740,"Manufacture of macaroni, noodles, couscous and similar farinaceous",,,,,,,,
688,,,,products,,,,,,,,
689,,1075,,manufacture of prepared meals and dishes,,,,,,,,
690,,,,"This class includes manufacture of ready-made (i.e. prepared, seasoned",,,,,,,,
691,,,,"and cooked) meals and dishes, in frozen or canned form. These dishes are",,,,,,,,
692,,,,"usually packaged and labeled for re-sale, i.e. this class does not include the",,,,,,,,
693,,,,"preparation of meals for immediate consumption, such as in restaurants",,,,,,,,
694,,,,This class excludes:,,,,,,,,
695,,,,"- wholesale of prepared meals and dishes, see 4630",,,,,,,,
696,,,,"- retail sale of prepared meals and dishes in stores, see 4711, 4721",,,,,,,,
697,,,,"- activities of food service contractors, see 5629",,,,,,,,
698,,,10750,Manufacture of prepared meals and dishes,,,,,,,,
699,,1079,,manufacture of other food products n.e.c.,,,,,,,,
700,,,,This class excludes:,,,,,,,,
701,,,,"- growing of spice crops, see 0128",,,,,,,,
702,,,,"- manufacture of inulin, see 1062",,,,,,,,
703,,,,"- manufacture of frozen pizza, see 1075",,,,,,,,
704,,,,"- manufacture of spirits, beer, wine and soft drinks, see division 11",,,,,,,,
705,,,,"- preparation of botanical products for pharmaceutical use, see 2100",,,,,,,,
706,,,10791,Processing and blending of tea including manufacture of instant tea,,,,,,,,
707,,,10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee",,,,,,,,
708,,,,products,,,,,,,,
709,,,10793,Processing of edible nuts,,,,,,,,
710,,,10794,Manufacture of malted foods including foods for infants and handicapped,,,,,,,,
711,,,10795,Grinding and processing of spices,,,,,,,,
712,,,10796,"Manufacture of papads, appalam and similar food products",,,,,,,,
713,,,10797,"Manufacture of vitaminised high protein flour, frying of dal and other",,,,,,,,
714,,,,cereals,,,,,,,,
715,,,10798,"Processing of salt into food-grade salt, e.g. iodized salt",,,,,,,,
716,,,10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous",,,,,,,,
717,,,,products and malted foods and manufacturing activities like manufacture of,,,,,,,,
718,,,,"egg powder, sambar powder etc. (this excludes the activities covered under",,,,,,,,
719,,,,10619),,,,,,,,
720,108,,,manufacture of prepared animal feeds,,,,,,,,
721,,1080,,manufacture of prepared animal feeds,,,,,,,,
722,,,,This class excludes:,,,,,,,,
723,,,,"- production of fishmeal for animal feed, see 1020",,,,,,,,
724,,,,"- production of oilseed cake, see 1040",,,,,,,,
725,,,,#NAME?,,,,,,,,
726,,,,"treatment, e.g. oilseeds (see 1040), grain milling residues (see 1061) etc.",,,,,,,,
727,,,10801,Manufacture of cattle feed,,,,,,,,
728,,,10802,Manufacture of poultry feed,,,,,,,,
729,,,10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc.",,,,,,,,
730,,,10809,Manufacture of other animal feeds n.e.c.,,,,,,,,
731,,,,DiviSion 11 : manuFaCture oF beveraGeS,,,,,,,,
732,110,,,manufacture of beverages,,,,,,,,
733,,1101,,"Distilling, rectifying and blending of spirits; ethyl alcohol production",,,,,,,,
734,,,,from fermented materials,,,,,,,,
735,,,,This class excludes:,,,,,,,,
736,,,,"- manufacture of ethyl alcohol, see 2011",,,,,,,,
737,,,,"- manufacture of non-distilled alcoholic beverages, see 1102, 1103",,,,,,,,
738,,,,"- merely bottling and labeling, see 4630 (if performed as part of wholesale)",,,,,,,,
739,,,,and 8292 (if performed on a fee or contract basis),,,,,,,,
740,,,11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky,",,,,,,,,
741,,,,"brandy, gin, “mixed drinks” etc.",,,,,,,,
